timeForPointcloud,frameInfo,total_point_num
2025-03-27 20:34:34.494,[],0
2025-03-27 20:34:34.593,[],0
2025-03-27 20:34:34.691,[],0
2025-03-27 20:34:34.791,[],0
2025-03-27 20:34:34.890,[],0
2025-03-27 20:34:34.989,[],0
2025-03-27 20:34:35.088,[],0
2025-03-27 20:34:35.186,[],0
2025-03-27 20:34:35.285,[],0
2025-03-27 20:34:35.384,[],0
2025-03-27 20:34:35.484,[],0
2025-03-27 20:34:35.583,[],0
2025-03-27 20:34:35.682,[],0
2025-03-27 20:34:35.781,[],0
2025-03-27 20:34:35.880,[],0
2025-03-27 20:34:35.980,"[[-12, 198, 36, -12, 1700]]",1
2025-03-27 20:34:36.079,[],0
2025-03-27 20:34:36.177,[],0
2025-03-27 20:34:36.277,[],0
2025-03-27 20:34:36.376,[],0
2025-03-27 20:34:36.475,[],0
2025-03-27 20:34:36.574,[],0
2025-03-27 20:34:36.673,[],0
2025-03-27 20:34:36.772,[],0
2025-03-27 20:34:36.872,"[[-27, 200, 16, 12, 1800]]",1
2025-03-27 20:34:36.972,"[[-22, 196, 17, 12, 1700], [-25, 199, 23, 12, 2100], [-28, 203, 22, 12, 1800]]",3
2025-03-27 20:34:37.070,"[[-21, 200, 21, 12, 2200], [-19, 204, 23, 12, 2000]]",2
2025-03-27 20:34:37.171,"[[-24, 200, 13, 12, 1700], [-18, 212, 19, 12, 2300], [-14, 217, 8, 12, 2400], [0, 221, -2, 12, 1600]]",4
2025-03-27 20:34:37.271,"[[-26, 196, 40, 12, 1800], [-25, 202, 28, 12, 1700], [-23, 211, 27, 12, 2300], [-18, 214, 34, 12, 2600], [-11, 218, 39, 12, 2400]]",5
2025-03-27 20:34:37.367,[],0
2025-03-27 20:34:37.465,[],0
2025-03-27 20:34:37.567,"[[13, 14, -88, 12, 1700], [60, 61, -47, 12, 1600], [58, 57, -59, 12, 1800]]",3
2025-03-27 20:34:37.667,"[[44, 49, -22, 24, 1800], [36, 57, -70, 12, 1400], [-95, 27, 23, 12, 1800], [23, 55, -105, 12, 1100]]",4
2025-03-27 20:34:37.767,"[[-4, 47, -46, 18, 1900], [63, 76, -20, 12, 1900], [63, 79, -25, 12, 2100], [55, 78, -52, 12, 1900], [-47, 72, -74, 12, 1700]]",5
2025-03-27 20:34:37.863,[],0
2025-03-27 20:34:37.963,"[[-178, 57, 17, 12, 1600]]",1
2025-03-27 20:34:38.062,"[[61, 45, -72, 12, 1800], [-86, 95, 33, -12, 1800]]",2
2025-03-27 20:34:38.161,"[[-154, 97, 43, 12, 1600]]",1
2025-03-27 20:34:38.260,[],0
2025-03-27 20:34:38.359,[],0
2025-03-27 20:34:38.458,[],0
2025-03-27 20:34:38.558,"[[-160, 88, 42, 12, 1600]]",1
2025-03-27 20:34:38.656,[],0
2025-03-27 20:34:38.755,[],0
2025-03-27 20:34:38.854,[],0
2025-03-27 20:34:38.953,[],0
2025-03-27 20:34:39.052,[],0
2025-03-27 20:34:39.151,[],0
2025-03-27 20:34:39.251,[],0
2025-03-27 20:34:39.353,"[[12, 14, 4, 12, 2400], [1, 75, 19, 12, 2100], [73, 43, 4, 12, 1800], [-89, 89, 28, -12, 1700], [-151, 101, 24, -12, 1400]]",5
2025-03-27 20:34:39.450,"[[-2, 105, 26, 12, 2200], [-31, 112, 12, 12, 1700]]",2
2025-03-27 20:34:39.551,"[[-6, 109, 29, 12, 2500], [18, 112, 26, 12, 2400], [33, 112, 27, 12, 2300]]",3
2025-03-27 20:34:39.649,"[[7, 21, 4, 12, 2400], [59, 102, 22, 12, 1700]]",2
2025-03-27 20:34:39.749,"[[57, 80, 21, 12, 1900], [63, 80, 22, 12, 2400]]",2
2025-03-27 20:34:39.848,"[[-4, 46, 4, 12, 2500], [27, 80, -3, 12, 2100], [-19, 216, 12, 12, 2000]]",3
2025-03-27 20:34:39.949,"[[9, 76, 14, 12, 2200], [6, 80, 10, 12, 2300], [-101, 85, 13, 12, 1700], [-152, 95, 35, 12, 1400], [-22, 213, 41, 12, 1800]]",5
2025-03-27 20:34:40.045,"[[-50, 69, 7, 12, 1500]]",1
2025-03-27 20:34:40.143,[],0
2025-03-27 20:34:40.242,[],0
2025-03-27 20:34:40.341,[],0
2025-03-27 20:34:40.441,[],0
2025-03-27 20:34:40.540,[],0
2025-03-27 20:34:40.639,[],0
2025-03-27 20:34:40.738,[],0
2025-03-27 20:34:40.837,[],0
2025-03-27 20:34:40.936,[],0
2025-03-27 20:34:41.034,[],0
2025-03-27 20:34:41.135,"[[-160, 85, 27, 12, 1300]]",1
2025-03-27 20:34:41.233,[],0
2025-03-27 20:34:41.332,[],0
2025-03-27 20:34:41.431,[],0
2025-03-27 20:34:41.530,[],0
2025-03-27 20:34:41.629,[],0
2025-03-27 20:34:41.728,[],0
2025-03-27 20:34:41.827,[],0
2025-03-27 20:34:41.927,[],0
2025-03-27 20:34:42.025,[],0
2025-03-27 20:34:42.124,[],0
2025-03-27 20:34:42.223,[],0
2025-03-27 20:34:42.323,[],0
2025-03-27 20:34:42.421,[],0
2025-03-27 20:34:42.520,[],0
2025-03-27 20:34:42.620,[],0
2025-03-27 20:34:42.719,[],0
