timeForPointcloud,frameInfo,total_point_num
2025-03-27 20:40:37.821,"[[-150, 98, 38, -18, 600], [-145, 106, 35, -12, 1400], [-158, 89, 25, 12, 1400], [-141, 116, 37, -12, 1500], [-221, 168, -94, -24, 1600], [-219, 163, -105, 24, 1700], [-222, 171, -95, -24, 1800], [-220, 171, -101, 24, 1900]]",8
2025-03-27 20:40:37.920,"[[13, 27, -3, -12, 2400], [-147, 107, 23, -12, 1600], [-154, 95, 45, -12, 1400], [-224, 162, -98, -24, 1600], [-222, 165, -96, 24, 1600], [-221, 171, -98, -24, 1800], [-219, 180, -86, 24, 1800], [-221, 177, -101, -24, 1500], [-225, 174, -97, 24, 1600], [-514, 813, 98, 12, 1400]]",10
2025-03-27 20:40:38.018,"[[15, 26, 0, -12, 1900], [-152, 96, 35, 12, 1600], [-143, 111, 48, 12, 1400], [-214, 186, -84, -24, 1600], [-212, 185, -92, 24, 1700], [-224, 171, -104, 24, 1400]]",6
2025-03-27 20:40:38.117,"[[-151, 99, 31, -12, 1300], [-154, 94, 30, 12, 1300], [-149, 108, 34, -12, 1400], [-149, 103, 47, 12, 1600], [-214, 186, -86, 24, 1600]]",5
2025-03-27 20:40:38.213,"[[-220, 182, -81, -24, 1600]]",1
2025-03-27 20:40:38.314,"[[-224, 165, -89, 24, 1500], [-219, 185, -73, -24, 1600], [-216, 173, -104, 24, 1600]]",3
2025-03-27 20:40:38.414,"[[-152, 99, 25, -12, 1400], [-154, 95, 28, 12, 1600], [-222, 176, -86, -24, 1600], [-221, 171, -99, 24, 1700]]",4
2025-03-27 20:40:38.514,"[[-124, 132, 26, 18, 800], [-152, 95, 39, -18, 600], [-146, 105, 37, -12, 1300], [-155, 92, 32, 12, 1400], [-147, 110, 38, -12, 1600], [-149, 103, 46, 12, 1600], [-213, 183, -94, -24, 1600]]",7
2025-03-27 20:40:38.613,"[[-142, 109, 36, -12, 1500], [-140, 118, 37, -12, 1600], [-155, 94, 47, 12, 1500], [-223, 172, -93, -24, 1600], [-222, 178, -82, 24, 1600]]",5
2025-03-27 20:40:38.710,"[[-152, 96, 36, -12, 1500], [-150, 100, 34, 12, 1500], [-145, 109, 44, 12, 1600], [-226, 175, -78, 24, 1700]]",4
2025-03-27 20:40:38.810,"[[-158, 82, 43, -12, 1400], [-158, 88, 30, 12, 1400], [-221, 177, -87, -24, 1600], [-226, 174, -80, 24, 1600]]",4
2025-03-27 20:40:38.908,"[[-151, 95, 41, 12, 1400], [-151, 105, 31, -12, 1400], [-223, 171, -93, -24, 1600], [-224, 172, -89, 24, 1600]]",4
2025-03-27 20:40:39.010,"[[-152, 96, 35, -12, 1400], [-152, 93, 43, 12, 1500], [-146, 112, 34, 12, 1600], [-221, 179, -82, -24, 1600], [-218, 185, -78, 24, 1600], [-217, 183, -97, 24, 1400], [-37, 305, -71, 24, 1500]]",7
2025-03-27 20:40:39.106,"[[-218, 175, -87, -24, 1600], [-218, 186, -75, -24, 1700], [-202, 203, -89, -24, 1700], [-216, 202, -54, 24, 1600]]",4
2025-03-27 20:40:39.208,"[[-145, 109, 46, 12, 1500], [-222, 174, -76, 24, 1500], [-229, 166, -87, -24, 1700], [-225, 170, -91, 24, 1700], [-235, 162, -91, -24, 1700], [-213, 195, -83, 24, 1700]]",6
2025-03-27 20:40:39.307,"[[-228, 158, -94, -24, 1600], [-239, 152, -75, 24, 1600], [-225, 174, -83, -24, 1800], [-233, 159, -89, 24, 1700], [-221, 188, -77, -24, 1700], [-235, 156, -103, 24, 1700], [-33, 307, -63, -24, 1700], [-37, 294, -108, 24, 1600]]",8
2025-03-27 20:40:39.404,"[[-228, 166, -91, -24, 1700], [-226, 166, -96, 24, 1700], [-225, 180, -84, -24, 1600]]",3
2025-03-27 20:40:39.504,"[[-152, 97, 33, 12, 1400], [-240, 151, -86, 30, 1400], [-231, 157, -98, -24, 1600], [-236, 148, -100, 24, 1600], [-229, 181, -71, -24, 1600], [-225, 180, -83, 24, 1500]]",6
