timeForPointcloud,frameInfo,total_point_num
2025-03-27 21:06:46.951,"[[-30, 203, 43, -12, 1800], [-31, 205, 53, -12, 2100]]",2
2025-03-27 21:06:47.350,"[[-41, 197, 43, -12, 1700], [-32, 203, 45, -12, 2100], [-29, 206, 50, -12, 2000], [-24, 210, 53, -12, 1800]]",4
2025-03-27 21:06:47.755,[],0
2025-03-27 21:06:48.152,[],0
2025-03-27 21:06:48.570,"[[-30, 200, 38, 12, 2000], [-28, 205, 37, 18, 2400], [-24, 206, 35, 12, 2400], [-26, 209, 36, 18, 2200], [-23, 209, 38, 12, 2300]]",5
2025-03-27 21:06:48.969,"[[-19, 46, -9, -12, 2200], [23, 23, -43, -12, 2400], [25, 60, 4, -12, 3100], [21, 65, 9, -12, 3100], [-1, 97, -4, -12, 2600], [-12, 99, 14, -12, 2400], [34, 101, 20, -12, 2400], [-14, 113, 26, -12, 3000], [-96, 95, 21, -12, 3100], [5, 139, 3, -18, 1800], [-109, 86, 19, -12, 3100], [48, 134, 16, -12, 2900], [-23, 143, 26, -12, 2600], [96, 146, 37, -12, 1800], [67, 170, -38, -18, 1300], [-32, 190, 24, 12, 1900], [23, 192, 41, -12, 2100], [-46, 191, 21, 12, 2400], [19, 198, 36, -12, 1800], [-51, 194, 22, 12, 2300], [-222, 110, 31, -12, 1700], [72, 289, 75, -12, 2200], [-258, 165, -62, -12, 2400], [45, 312, 46, -12, 2300], [41, 346, -61, -12, 1900], [-235, 291, 94, -12, 1700], [-9, 420, 59, -12, 1800], [39, 426, -13, -12, 1800], [116, 406, 106, -12, 1800], [167, 439, 70, -12, 1500], [209, 491, 12, -12, 1600], [237, 482, 3, -12, 1600]]",32
2025-03-27 21:06:49.357,"[[9, 16, 3, 12, 3000], [11, 19, 5, 12, 3100], [5, 67, 17, 12, 2800], [47, 101, -12, 12, 1800], [27, 116, 17, 12, 1700], [70, 110, 15, 12, 1500], [75, 110, 26, 12, 1900], [-101, 90, 33, 12, 2000], [-52, 190, 44, -12, 1700]]",9
2025-03-27 21:06:49.778,"[[-15, 26, -17, 12, 3100], [16, 34, 9, 12, 3100], [-58, 8, 8, 12, 2800], [24, 54, 16, 12, 3000], [21, 61, 8, 18, 1900], [31, 56, 15, 12, 2800], [23, 64, 15, 18, 2400], [20, 66, 6, 12, 2800], [23, 91, -26, 18, 1700], [-50, 84, -1, 12, 2300], [-75, 68, 4, 12, 2600], [38, 97, 10, 12, 2900], [54, 92, 20, 18, 2000], [38, 101, 11, 12, 2800], [59, 96, 2, 18, 1900], [-26, 107, -22, 12, 2400], [33, 111, -7, 18, 1900], [40, 109, -12, 12, 2900], [29, 115, 20, 18, 1900], [36, 114, 11, 12, 2900], [34, 117, 20, 12, 2300], [122, 47, 19, 12, 2800], [23, 166, 35, 12, 2300], [-29, 185, 37, -12, 1600], [-27, 193, 6, -12, 2100], [48, 188, 0, 12, 2300], [-21, 192, 42, -18, 1700], [-18, 195, 30, -12, 2300], [-129, 148, -26, 12, 2000], [-31, 197, 34, -18, 1700], [-23, 198, 31, -12, 2300], [-88, 182, 16, 12, 1600], [-34, 202, 25, -18, 1800], [-43, 201, 14, -12, 1700], [-28, 205, 37, -18, 1800], [-24, 204, 45, -12, 1800], [-27, 209, 38, -18, 2100], [-23, 208, 47, -12, 2700], [-158, 136, 50, 12, 2400], [-29, 212, 41, -18, 2300], [-23, 212, 41, -12, 2700], [-28, 217, 35, -18, 2000], [-27, 217, 38, -12, 2300], [23, 221, 59, 12, 1900], [26, 217, -82, 12, 2100], [-207, 200, 69, 12, 1600], [153, 273, -60, 12, 1900], [-57, 373, -15, 12, 1900], [267, 270, 35, 12, 1700], [-14, 422, 74, 12, 1400], [326, 321, -40, 12, 1300], [226, 416, -37, 12, 1800], [100, 468, 10, 12, 1600], [-315, 425, 117, 12, 1600], [-240, 487, 55, 12, 1600], [40, 560, 2, 12, 1200], [191, 549, -165, 12, 1600], [-38, 604, 88, 12, 1600]]",58
2025-03-27 21:06:50.179,"[[11, 10, 1, -12, 2800], [16, 10, 1, -12, 3100], [4, 22, 4, -12, 3100], [25, 52, 6, -12, 3000], [-14, 57, -20, -12, 2400], [-15, 57, -29, -12, 2900], [24, 65, 3, -12, 3100], [27, 67, 10, -18, 2900], [24, 69, 7, -12, 3100], [22, 73, 10, -12, 3100], [63, 71, 17, -18, 1800], [-10, 93, 24, -12, 2700], [74, 67, 14, -12, 3100], [65, 81, 6, -18, 2600], [76, 71, 10, -12, 3100], [63, 87, 13, -18, 2300], [69, 83, 6, -12, 3100], [-53, 110, 21, -12, 2400], [92, 89, 0, -12, 1800], [18, 134, 35, -12, 2700], [72, 168, -7, -12, 1900], [51, 179, -2, -12, 2100], [52, 213, 53, -12, 2100], [-5, 229, 3, -12, 1700], [54, 229, 52, -12, 1900], [42, 238, -38, -12, 1900], [38, 246, -11, -12, 1700], [56, 242, -113, -12, 1700], [-109, 259, -44, -12, 1500], [60, 287, 31, -12, 1700], [55, 293, 23, -12, 2000], [311, 74, -161, -12, 1700], [-244, 274, 92, -12, 1800], [144, 348, 96, -12, 2300], [154, 352, 82, -12, 2400], [237, 330, 67, -12, 1800], [162, 439, 56, -12, 1800], [123, 456, 48, -12, 2000], [128, 452, 94, -12, 2100], [36, 492, 93, -12, 1700], [55, 492, 105, -12, 1900], [462, 145, -172, -12, 1600], [-483, 154, 111, -12, 1600], [332, 401, -98, -12, 1800], [311, 654, 80, -12, 1500]]",45
2025-03-27 21:06:50.570,"[[23, 77, 11, 12, 2300], [-60, 50, -35, 12, 2200], [40, 87, 16, 12, 2100], [-10, 98, 18, 12, 2500], [-1, 103, 16, 12, 2700], [3, 108, 11, 12, 2300], [-97, 53, 25, 12, 1900], [42, 140, 38, 12, 1700], [32, 148, 34, 12, 1600], [-14, 198, 39, 12, 2000], [-19, 202, 37, 12, 2000], [-26, 204, 44, 12, 1500]]",12
2025-03-27 21:06:50.975,"[[62, 94, 6, 12, 1600], [46, 132, 30, 12, 1900], [-170, 240, -144, -12, 1100]]",3
2025-03-27 21:06:51.381,"[[6, 29, -8, -12, 2700], [9, 33, -3, -12, 3100], [17, 34, 2, -12, 2700], [7, 58, -1, -12, 2400], [14, 64, -3, -12, 1900], [20, 66, 7, -12, 2400], [83, 23, 20, -12, 2200], [9, 107, 18, -12, 2400], [9, 118, 20, -12, 1800], [216, 373, 66, -12, 1600], [-347, 896, 54, 12, 1800], [-339, 885, 191, 12, 1600]]",12
2025-03-27 21:06:51.762,[],0
2025-03-27 21:06:52.181,"[[3, 49, 6, 12, 1800], [21, 65, 9, 12, 2500], [21, 68, 17, 12, 3000], [49, 71, -34, 12, 1700], [37, 87, 20, 12, 1800], [53, 103, 12, 12, 1700], [-28, 116, -11, 12, 1600], [-33, 191, -9, 12, 1600], [-183, 77, -10, 12, 1500], [-29, 206, 51, 12, 1600]]",10
2025-03-27 21:06:52.577,"[[-89, 301, -24, -12, 1500]]",1
2025-03-27 21:06:52.982,"[[-77, 169, 45, -12, 1800], [-38, 189, 24, -12, 2500], [-23, 195, 23, -12, 2400], [157, 121, 36, -12, 1900], [-34, 202, 48, -12, 1700], [-31, 207, 42, -12, 2100], [-33, 212, 37, -12, 2000]]",7
