timeForPointcloud,frameInfo,total_point_num
2025-03-27 21:34:44.171,"[[10, 15, -7, -12, 2500], [23, 25, -6, -12, 2700], [24, 39, 3, -12, 2900], [26, 42, 1, -12, 3100], [26, 47, 5, -12, 2700], [-25, 51, -15, -18, 1900], [-27, 51, -4, -12, 2600], [33, 46, -25, -18, 2000], [33, 33, -41, -12, 2600], [35, 55, -5, -12, 2200], [39, 54, -19, -12, 1800], [-5, 96, -12, -12, 2300], [-5, 100, -3, -12, 2400], [5, 103, -34, -12, 2000], [-64, 92, 13, -12, 2000], [88, 186, -70, -12, 1700], [96, 188, -67, -12, 2100], [143, 166, -52, -12, 1700], [-175, 101, -172, -12, 2000], [-119, 188, -151, -12, 2000], [35, 285, -15, -12, 1700], [29, 289, -27, -12, 2100], [29, 283, -80, -12, 2400], [-101, 235, -164, -18, 1700], [-102, 208, -198, -12, 2100], [-89, 241, -170, -18, 1800], [-114, 250, -140, -12, 2600], [-196, 180, -163, -18, 1700], [-162, 223, -147, -12, 2700], [-192, 248, -37, -18, 1700], [-206, 176, -162, -12, 2600], [-123, 268, -133, -18, 2100], [-89, 235, -204, -12, 2300], [-136, 264, -138, -18, 2200], [-195, 240, -121, -18, 2300], [-154, 238, -172, -12, 2600], [-166, 258, -134, -12, 2700], [-323, 21, -104, -18, 2100], [63, 332, -58, -18, 1700], [54, 320, -111, -12, 2000], [305, 164, -5, -18, 1900], [85, 274, -194, -12, 2300], [-92, 318, -115, -12, 2200], [222, 253, -109, -12, 2000], [174, 311, -33, -18, 1700], [234, 244, -118, -12, 1800], [40, 312, -180, -12, 1900], [281, 220, -82, -18, 1800], [354, 6, -107, -18, 2000], [349, 120, -55, -18, 1800], [290, 207, -112, -12, 2200], [223, 320, -75, -12, 2400], [305, 214, -148, -18, 1700], [263, 273, -130, -12, 2300], [110, 345, -198, -18, 2000], [96, 395, -69, -12, 2300], [124, 394, -58, -12, 2000], [13, 404, -131, -12, 2200], [24, 421, -79, -12, 2300], [182, 398, -74, -12, 2100], [165, 410, -74, -12, 2000], [121, 392, -188, -12, 1900], [-119, 421, -186, -18, 1800], [333, 304, -162, -18, 1600], [-44, 498, -104, -12, 2400], [-8, 480, -205, -12, 2700], [-3, 501, -161, -12, 2400], [133, 480, -191, -18, 1300], [-272, 418, -191, -12, 1800], [-70, 539, -44, -12, 1500], [359, 413, -44, -12, 1800], [-39, 537, -143, -12, 1900], [375, 415, -43, -12, 1900], [-382, 412, 65, -12, 1800], [-43, 570, -156, -12, 1800], [360, 502, -106, -12, 1600]]",76
2025-03-27 21:34:44.247,"[[13, 16, -8, -12, 2400], [15, 19, -9, -12, 2500], [25, 34, 2, -12, 2900], [24, 39, 3, -12, 3100], [24, 44, -1, -12, 2700], [1, 17, -48, 12, 3000], [7, 23, -49, 12, 3000], [14, 55, -11, 12, 2900], [21, 57, -7, 12, 3000], [31, 57, -8, -12, 2300], [25, 60, -8, 12, 2700], [31, 62, 1, -12, 2200], [62, 27, 16, 12, 2400], [31, 79, 4, -12, 1900], [31, 76, -34, -12, 1900], [-25, 87, -22, -12, 1600], [28, 94, -24, -12, 2000], [34, 98, -10, -12, 1800], [-49, 105, 17, 12, 2100], [-54, 107, 9, 12, 1900], [61, 137, -24, 12, 1500], [69, 92, -105, 12, 1500], [-20, 166, -8, -12, 1700], [-36, 166, 43, 12, 1700], [-50, 169, 29, 12, 1600], [93, 160, -61, 12, 1700], [60, 284, -56, -18, 1900], [59, 287, -39, -12, 2400], [68, 284, -67, -18, 2100], [67, 275, -99, -12, 2300], [77, 289, -51, -18, 1700], [83, 277, -92, -12, 2000], [-120, 274, -73, -18, 2300], [-126, 278, -39, -12, 2700], [-132, 267, -93, -18, 2800], [98, 286, -75, -12, 3000], [94, 279, -113, -12, 3000], [149, 248, -134, -12, 2400], [202, 255, 26, -24, 1500], [4, 330, 75, -18, 1800], [2, 332, 65, -12, 2300], [212, 268, -23, -12, 2000], [180, 289, 61, -18, 1700], [162, 311, -12, -18, 1700], [200, 282, -54, -12, 2300], [163, 313, -31, -18, 1800], [192, 294, -46, -12, 2300], [185, 248, -180, -18, 1900], [210, 249, -159, -18, 1700], [170, 293, -128, -24, 1600], [5, 369, 25, -12, 2100], [42, 365, 67, -12, 2300], [-96, 362, -49, -12, 2100], [145, 349, -54, -12, 1700], [133, 361, 12, -12, 1800], [158, 345, -90, -12, 2100], [226, 301, -113, -12, 2300], [-205, 323, -107, -18, 1500], [236, 295, -122, -12, 2300], [236, 298, -128, -12, 1800], [-158, 324, -195, -18, 1600], [268, 266, -166, -12, 2100], [274, 302, -84, -12, 1800], [350, 231, -30, -12, 1600], [107, 409, 32, -12, 1800], [199, 375, -56, -12, 1800], [154, 402, -36, -12, 1800], [102, 417, 78, -12, 1800], [249, 313, -172, 12, 1500], [333, 280, -86, -12, 1900], [108, 441, 67, -12, 2200], [289, 494, -133, -12, 1900], [-625, 709, 221, 12, 2000]]",73
2025-03-27 21:34:44.359,"[[15, 21, -3, 12, 1900], [17, 38, 2, 18, 2400], [12, 44, -6, 18, 2500], [9, 36, -28, 12, 3100], [13, 41, -25, 12, 3000], [-3, 58, -5, 12, 3100], [-3, 61, -4, 12, 3000], [-10, 65, -4, 12, 2900], [-28, 62, -15, 12, 2700], [-92, 30, -31, -12, 1600], [62, 101, -36, 12, 1800], [61, 112, -13, 12, 2100], [122, 132, 30, 12, 1900], [-13, 186, -8, 12, 2000], [91, 167, -8, 12, 2100], [-22, 193, -38, 12, 1600], [99, 171, 43, 12, 2100], [98, 176, 41, 12, 2100], [96, 186, 10, 12, 2100], [122, 197, 28, 12, 1800], [121, 196, 54, 12, 2100], [219, 141, 63, 12, 1700], [285, 133, 12, -12, 2300], [297, 90, 73, -12, 2200], [-160, 234, -149, 12, 2100], [-151, 265, -108, 12, 1800], [120, 321, 74, -12, 1900], [54, 349, -24, -12, 1700], [63, 344, -92, -12, 1700], [31, 365, -10, -12, 2000], [2, 318, -190, -12, 1800], [97, 360, 21, 12, 1700], [250, 281, 30, 12, 1700], [133, 358, 73, -12, 1700], [152, 359, 45, -12, 2100], [180, 353, -28, -12, 2300], [280, 344, 0, -12, 1600], [-77, 432, -93, -12, 1400], [-157, 420, -120, -12, 1800], [-176, 415, -127, -12, 1900], [-210, 412, -91, 12, 1500], [246, 406, 22, -12, 1800], [265, 384, -87, 12, 1700], [236, 417, -1, -12, 1700], [258, 397, -69, 12, 1800], [345, 334, -48, 12, 1700]]",46
2025-03-27 21:34:44.448,"[[8, 18, -11, 12, 2000], [8, 18, -19, 12, 2300], [7, 19, -42, 12, 3100], [71, 35, 18, 12, 2700], [44, 107, -15, 12, 2200], [61, 97, -37, 12, 2200], [80, 94, 9, 12, 2000], [53, 118, 24, 12, 2700], [58, 147, -67, 12, 1700], [-81, 161, 29, 12, 1400], [84, 160, 46, 12, 1600], [134, 186, 10, 12, 1400], [114, 201, -31, 12, 1900], [122, 198, -47, 12, 1800], [149, 199, -6, 12, 1500], [129, 215, -29, 12, 1700], [-136, 252, -150, -12, 1200], [208, 239, -167, -12, 1600], [298, 204, -16, -12, 1400], [-339, 314, 74, -12, 1500], [231, 419, -3, 12, 1600]]",21
2025-03-27 21:34:44.524,"[[28, 3, -37, 12, 3100], [27, 19, -38, 12, 3100], [27, 9, -46, 12, 3100], [65, 175, 37, 12, 1700]]",4
2025-03-27 21:34:44.621,"[[0, 65, -2, 12, 2100], [-3, 60, -36, 12, 1800], [41, 30, -53, 12, 1800]]",3
2025-03-27 21:34:44.722,"[[-37, 130, 14, -12, 1600], [-76, 380, 36, -12, 1500], [150, 360, 43, -12, 1500]]",3
2025-03-27 21:34:44.823,"[[39, 23, 7, -12, 2700], [42, 27, 4, -12, 2400], [32, 74, -5, -12, 2000], [-48, 75, -5, -12, 2000], [-35, 71, -70, -12, 1500], [52, 103, -14, -12, 2200], [-111, 55, -17, -12, 1300], [-37, 123, 5, -12, 1700], [-35, 127, 1, -12, 1900], [-28, 133, 11, -12, 1700], [273, 154, 78, -12, 1700], [-127, 301, 15, -12, 1700], [-156, 292, -6, -12, 1600], [-164, 290, -36, -12, 1500]]",14
2025-03-27 21:34:44.923,"[[-34, 37, 1, -12, 2800], [34, 42, -7, -12, 2600], [31, 42, -52, -12, 2200], [4, 101, -25, -12, 2500], [-59, 113, 14, -12, 1800], [-55, 120, 13, -12, 1800], [-60, 121, 14, -12, 1800], [-85, 128, -86, -12, 1300], [74, 202, 33, -12, 1300], [-291, 113, 19, -12, 1200], [132, 379, 51, -12, 1600], [112, 392, -30, -12, 1400]]",12
2025-03-27 21:34:45.023,"[[14, 18, -1, -12, 3000], [16, 21, -2, -12, 2900], [37, 27, 1, -12, 3100], [40, 24, -17, -12, 3100], [24, 69, -4, -12, 1800], [31, 23, -76, -12, 2000], [-50, 39, -75, -12, 2800], [44, 82, -38, -12, 3000], [49, 88, -27, -12, 3100], [51, 90, -34, -12, 3000], [-15, 131, 11, -12, 1700], [123, 165, -8, -12, 1400], [115, 173, 28, -12, 1400], [128, 323, 65, -12, 1800], [-824, 462, 76, 12, 1500], [-595, 761, 28, 12, 1500]]",16
