timeForPointcloud,frameInfo,total_point_num
2025-03-27 21:42:52.340,[],0
2025-03-27 21:42:52.439,[],0
2025-03-27 21:42:52.539,[],0
2025-03-27 21:42:52.639,[],0
2025-03-27 21:42:52.738,[],0
2025-03-27 21:42:52.837,[],0
2025-03-27 21:42:52.936,[],0
2025-03-27 21:42:53.035,[],0
2025-03-27 21:42:53.134,[],0
2025-03-27 21:42:53.233,[],0
2025-03-27 21:42:53.333,[],0
2025-03-27 21:42:53.432,[],0
2025-03-27 21:42:53.531,[],0
2025-03-27 21:42:53.630,[],0
2025-03-27 21:42:53.730,[],0
2025-03-27 21:42:53.829,[],0
2025-03-27 21:42:53.928,[],0
2025-03-27 21:42:54.028,[],0
2025-03-27 21:42:54.134,"[[16, 14, 5, -12, 3100], [19, 17, 6, -12, 3100], [22, 19, 7, -12, 3100], [-45, 23, 2, -12, 2300], [45, 50, 17, -12, 2700], [53, 47, 18, -12, 2900], [51, 77, 10, -12, 2200], [41, 88, -1, -12, 2000], [35, 94, -9, -12, 2000], [6, 132, 30, -12, 2200], [110, 86, -10, -12, 1800], [106, 96, 5, -12, 1900], [103, 105, 8, -12, 1800], [71, 179, 46, -12, 1300], [227, 216, -61, -12, 1500]]",15
2025-03-27 21:42:54.244,"[[14, 11, 4, -12, 3000], [16, 14, 5, -12, 3100], [19, 17, 6, -12, 3100], [0, 41, 9, -12, 3100], [24, 39, -3, -12, 3100], [-40, 30, -9, -12, 3100], [-41, 35, -2, -12, 3100], [37, 53, 7, -18, 2500], [33, 55, 12, -12, 3100], [27, 64, -1, -18, 2900], [33, 61, 2, -12, 3100], [30, 67, -6, -12, 3100], [61, 44, 17, -18, 3000], [64, 43, -3, -12, 3100], [59, 52, 18, -18, 2500], [69, 42, 3, -12, 3100], [8, 84, 9, -12, 2800], [8, 87, 13, -12, 2400], [16, 92, -27, -18, 1800], [25, 97, -8, -18, 1900], [13, 99, -12, -12, 2600], [40, 95, 17, -18, 2100], [-14, 103, 7, -12, 2500], [74, 107, 22, -12, 2600], [-4, 135, 16, -12, 2600], [-95, 99, 28, -12, 2900], [-96, 140, 23, -12, 2300], [-4, 178, 13, -12, 1700], [56, 173, 39, -18, 1800], [79, 182, 53, -12, 2100], [68, 198, 8, -12, 1700], [61, 203, -32, -12, 1700], [-134, 174, 54, -12, 2100], [-163, 182, -26, -12, 1700], [101, 227, -18, -12, 1900], [104, 230, 5, -12, 2200], [224, 144, 58, -12, 1800], [19, 292, 38, -12, 1900], [193, 225, 41, -12, 1900], [83, 308, 0, -12, 1700], [63, 317, -10, -12, 1900], [51, 322, -29, -12, 1800], [-85, 333, 43, -12, 1800], [-201, 309, -160, -12, 1700]]",44
2025-03-27 21:42:54.347,"[[10, 10, 2, -12, 2600], [7, 37, 6, -12, 3100], [6, 41, -5, -12, 3100], [43, 30, 13, -12, 3100], [-28, 51, 5, -12, 3100], [18, 59, -1, -12, 2500], [29, 58, 0, -12, 3000], [44, 52, 13, -18, 3000], [49, 47, 15, -12, 3100], [42, 52, 17, -24, 1700], [51, 62, 12, -12, 3100], [56, 63, 7, -12, 2900], [-22, 86, -8, -18, 2200], [79, 50, -36, -12, 2500], [1, 100, -12, -24, 2000], [56, 88, 6, -30, 1800], [-53, 89, 17, -12, 2700], [55, 89, -9, -24, 2000], [59, 91, 4, -30, 1800], [-18, 115, 7, -12, 2700], [-35, 114, -19, -12, 2900], [-44, 168, 21, -18, 1700], [169, 36, 46, -12, 1600], [77, 179, 32, -12, 2400], [-150, 132, 32, -12, 2400], [-158, 128, 36, -12, 2200], [-173, 116, 29, -12, 1800], [-89, 223, 24, -12, 2100], [125, 210, 6, -12, 2300], [51, 241, 56, -12, 2300], [149, 255, 49, -12, 1700], [194, 242, 51, -12, 2300], [195, 243, 65, -12, 2400], [-170, 283, 23, -12, 2300], [236, 252, 79, -12, 2400], [131, 337, -20, -12, 1800], [271, 241, 44, -12, 1800], [-192, 317, 5, -12, 2200], [-192, 311, 80, -12, 2100], [39, 371, 55, -12, 1800], [-322, 204, 27, -12, 1800], [87, 373, 87, -12, 1800], [125, 484, 47, -12, 1800], [65, 560, 72, -12, 1300], [-241, 539, 109, -12, 1600]]",45
2025-03-27 21:42:54.442,"[[14, 12, 2, -12, 3100], [15, 16, 3, -12, 3100], [18, 19, 4, -12, 3100], [8, 45, 4, -18, 3000], [6, 44, 10, -12, 3100], [11, 48, 5, -18, 2800], [14, 50, 14, -18, 2500], [24, 55, -13, -12, 3000], [32, 57, 2, -12, 3100], [32, 68, 19, -12, 2700], [58, 67, -10, -24, 2000], [-49, 78, -17, -18, 2200], [74, 23, -65, -18, 2200], [40, 97, 25, -12, 3000], [47, 102, -6, -12, 3100], [66, 96, -6, -12, 3000], [14, 124, 27, -24, 1500], [-32, 130, 25, -12, 2900], [53, 129, -1, -18, 1900], [86, 109, 8, -24, 1700], [116, 163, 49, -18, 1500], [12, 214, 4, -12, 2600], [107, 181, -56, -12, 2000], [-157, 108, -122, -12, 2100], [-173, 144, 45, -12, 2300], [246, 158, 41, -12, 2400], [165, 248, 54, -18, 1400], [187, 238, 53, -18, 1600], [250, 185, 52, -12, 2400], [-196, 172, -199, -12, 2700], [-205, 249, -78, -12, 2400], [-41, 332, 18, -18, 1600], [348, 369, -82, -12, 1700], [324, 401, -49, -12, 1700], [376, 607, 162, -12, 1900]]",35
2025-03-27 21:42:54.537,"[[35, 35, -3, -12, 3100], [33, 42, 5, -12, 3100], [38, 47, 9, -18, 2400], [20, 84, 20, -18, 1800], [-5, 97, 2, -12, 2700], [-15, 98, 17, -12, 2600], [-48, 114, 10, -18, 2400], [-57, 115, -2, -18, 2200], [2, 134, 20, -12, 2400], [52, 145, 40, -18, 1800], [65, 145, -7, -12, 2000], [128, 121, 47, -12, 1800], [125, 138, -10, -12, 2100], [-145, 124, -10, -12, 2400], [-168, 104, 43, -12, 2000], [-185, 108, 14, -12, 2100], [-190, 106, 11, -12, 2100], [38, 269, -21, -12, 1500], [-143, 230, 56, -12, 1500], [-263, 186, -80, -12, 1800], [165, 289, -110, -12, 1500], [123, 336, 77, -12, 1300], [108, 343, 85, -12, 1500], [-212, 336, -100, -12, 1800], [251, 306, -192, -12, 1500]]",25
2025-03-27 21:42:54.626,[],0
