timeForPointcloud,frameInfo,total_point_num
2025-03-28 15:24:32.485,"[[-3, 40, -13, -12, 3100], [-4, 43, -15, -12, 3100], [-4, 46, -19, -12, 3100], [0, 46, -28, -12, 3000], [-33, 31, -30, 12, 2600], [1, 50, -30, 12, 2500], [14, 49, -35, -12, 2500], [-12, 51, -33, 12, 3000], [22, 49, -38, -12, 2300], [-30, 47, -36, 12, 2400], [4, 62, -40, -12, 2100], [50, 345, -37, -12, 1800], [-2, 363, 44, -12, 1500], [-57, 362, -8, 12, 1800], [-62, 365, 10, 12, 1800], [88, 334, -143, -12, 1500], [62, 361, -92, -12, 1600], [-46, 395, -159, -12, 1200], [-17, 429, -47, -12, 1400], [1, 436, 9, -12, 1400], [16, 576, 4, 12, 1300], [10, 933, 183, 12, 2000], [11, 931, 213, 12, 2000]]",23
2025-03-28 15:24:32.595,"[[-5, 41, -8, -12, 2600], [-3, 45, -10, -12, 3100], [1, 50, -2, -18, 1800], [-3, 48, -14, -12, 3100], [-26, 34, -27, 12, 2500], [4, 48, -25, -18, 2200], [-2, 51, -19, -12, 3100], [-28, 35, -31, 12, 3000], [9, 50, -29, -12, 3100], [3, 42, -40, 12, 2700], [12, 54, -28, -18, 2300], [13, 51, -32, -12, 3100], [-11, 58, -17, 12, 2600], [18, 54, -34, -12, 3100], [18, 58, -42, -18, 1900], [-11, 58, -44, 12, 2300], [-8, 62, -47, 12, 2200], [-9, 73, -43, -12, 1500], [-3, 77, -45, -12, 1200], [22, 72, -55, -12, 1400], [27, 70, -61, -12, 1800], [21, 92, -54, -12, 1300], [16, 100, -49, -12, 1600], [105, 7, -52, -12, 1200], [-4, 245, -88, -12, 1700], [5, 251, -84, -12, 2000], [8, 254, -88, -12, 1800], [-14, 220, -161, -12, 1700], [261, 94, -61, -12, 1800], [240, 158, -7, -12, 2400], [233, 175, -6, -12, 2700], [4, 294, -34, -12, 2600], [11, 294, -57, -12, 2300], [34, 293, -73, -12, 2100], [27, 287, -108, -12, 2300], [-77, 279, -116, -12, 2300], [111, 269, -121, -12, 1900], [54, 289, -125, -12, 1900], [7, 312, -83, -12, 2100], [-1, 314, -93, -12, 2000], [-206, 211, -191, -12, 1500], [44, 314, -198, -12, 2100], [42, 337, -184, -12, 1700], [33, 342, -183, -12, 1400], [-46, 387, 52, -12, 1700], [-36, 394, -29, -12, 1800], [-7, 392, -83, -12, 1500], [-11, 384, -142, -12, 1500], [-15, 393, -126, -12, 1800], [-24, 390, -145, -12, 1500], [212, 344, -174, -12, 1700], [-82, 393, -190, -12, 2100], [-18, 939, 118, 12, 1600]]",53
2025-03-28 15:24:32.696,"[[-5, 37, -11, -12, 2600], [-4, 40, -12, -12, 3100], [-4, 45, -9, -12, 3100], [4, 44, -24, -18, 2500], [1, 32, -39, -12, 3000], [-18, 37, -29, 12, 2900], [6, 48, -25, -18, 3000], [2, 40, -37, -12, 3100], [-21, 40, -31, 12, 3100], [7, 52, -25, -18, 3000], [5, 49, -31, -12, 3100], [-27, 37, -36, 12, 3100], [13, 50, -33, -12, 3100], [-5, 53, -31, 12, 3100], [32, 45, -35, -18, 2500], [13, 51, -40, -12, 3100], [-13, 58, -29, 12, 3100], [27, 51, -31, -24, 2500], [29, 53, -35, -18, 2000], [-4, 59, -38, -12, 3000], [-16, 60, -32, 12, 3100], [27, 55, -33, -24, 2500], [18, 59, -40, -18, 2300], [23, 61, -33, -12, 2100], [-18, 60, -40, 12, 2500], [11, 58, -51, -12, 2000], [-7, 66, -48, -12, 1800], [-38, 55, -47, 12, 1800], [-18, 68, -49, -12, 1600], [-48, 45, -55, 12, 1700], [-20, 151, -45, -18, 1500], [30, 276, -59, -12, 2100], [40, 281, -51, -12, 2700], [57, 284, -34, -12, 2700], [84, 283, 16, -12, 2100], [-226, 192, 45, -12, 1700], [40, 269, -143, -18, 1700], [25, 280, -125, -12, 2100], [46, 271, -147, -18, 2000], [39, 278, -143, -12, 2100], [1, 290, -168, -12, 1500], [-338, 105, 16, -12, 1400], [40, 367, -25, -12, 1800], [-23, 371, -32, -12, 1900], [-46, 340, -149, 12, 1500], [7, 334, -176, 12, 1600], [-63, 356, -122, -12, 1700], [-137, 327, -153, -12, 1700], [-2, 399, 39, -12, 1700], [2, 402, -50, -12, 1800], [162, 406, 49, -12, 2000], [161, 414, -5, -12, 2400], [156, 419, -34, -12, 2200], [-122, 409, -147, -18, 1100], [218, 409, -62, -12, 1700], [230, 403, -83, -12, 1900], [-91, 433, -174, -12, 1800], [-59, 471, -68, -12, 1600], [-466, 500, 141, -12, 1600], [13, 942, 156, 12, 1600]]",60
2025-03-28 15:24:32.803,"[[-4, 39, -15, -18, 3100], [-5, 38, -17, -12, 3100], [-3, 40, -13, -24, 2900], [-5, 43, -17, -18, 3100], [-6, 41, -20, -12, 3100], [-15, 32, -30, 12, 2700], [-4, 43, -15, -24, 2800], [-3, 45, -22, -18, 3100], [-6, 44, -24, -12, 3100], [-25, 36, -24, 12, 3100], [-28, 39, -27, 12, 3100], [-29, 42, -30, 12, 3100], [-29, 42, -35, 12, 3100], [12, 53, -37, -30, 2700], [-13, 52, -38, 18, 2600], [12, 53, -37, -18, 3100], [-6, 58, -31, -12, 3100], [-20, 43, -47, 12, 3100], [15, 53, -36, -24, 3100], [-13, 57, -38, 18, 2500], [-2, 58, -38, -18, 3000], [-8, 62, -31, -12, 3100], [17, 52, -44, -24, 2700], [15, 60, -40, -30, 2100], [-16, 67, -27, -12, 2900], [18, 63, -33, -24, 2200], [17, 66, -38, -30, 1700], [-26, 65, -34, -12, 1800], [-48, 46, -41, 12, 2400], [-39, 60, -39, 12, 2300], [-1, 88, -42, -12, 1800], [3, 89, -48, -12, 1800], [8, 94, -46, -12, 2100], [-1, 94, -55, -18, 1900], [11, 97, -47, -12, 1900], [-17, 93, -68, 12, 1800], [-7, 84, -86, -12, 1700], [0, 104, -68, -12, 1700], [-163, 74, -174, 12, 1600], [-38, 231, -96, -12, 1700], [-12, 239, -92, -12, 2100], [10, 248, -79, -12, 1900], [35, 262, -93, -12, 2000], [39, 274, -65, -12, 2700], [40, 285, -52, -12, 2600], [49, 284, -66, -12, 1700], [90, 286, -6, -12, 1400], [86, 269, -111, -18, 2000], [92, 284, -53, -12, 2400], [56, 273, -129, -18, 2700], [45, 283, -113, -12, 2900], [44, 271, -148, -18, 2600], [11, 284, -128, -12, 2800], [-18, 277, -167, -12, 1600], [-1, 288, -155, -12, 1800], [-20, 326, 72, -12, 1600], [-56, 323, -99, 12, 1400], [-109, 309, -115, 12, 1800], [-150, 257, -187, 12, 1700], [-220, 272, 57, 12, 1400], [45, 335, -151, -12, 1700], [20, 338, -177, -12, 1800], [45, 347, -163, -12, 1800], [-260, 262, -137, -12, 2000], [-24, 386, -92, -18, 1700], [-2, 382, -110, -12, 1800], [-376, 181, -8, -18, 1500], [367, 148, -165, -12, 1600], [269, 323, -100, -12, 1600], [208, 378, -63, -12, 2100], [217, 378, -58, -12, 2300], [212, 386, 56, -12, 2200], [232, 388, -100, -12, 2200], [230, 399, -78, -12, 2500], [196, 428, -18, -12, 2100], [63, 587, 47, -12, 1400], [79, 591, -7, -12, 1500], [75, 666, -129, -12, 1600], [116, 683, -38, -12, 1800], [106, 685, -79, -12, 1900], [25, 925, 220, 18, 2100], [19, 924, 238, 18, 2000], [25, 926, 233, 12, 1700]]",83
2025-03-28 15:24:32.908,"[[-19, 15, -31, 18, 3100], [-10, 34, -16, -12, 3000], [-17, 17, -31, 12, 3100], [-19, 15, -31, 24, 2800], [-21, 15, -34, 18, 3100], [-3, 40, -13, -18, 3000], [-10, 37, -18, -12, 3100], [-20, 15, -35, 12, 3100], [-21, 15, -34, 24, 3100], [-23, 16, -38, 18, 3100], [-1, 44, -15, -18, 3100], [-11, 40, -20, -12, 3100], [-23, 7, -41, 12, 3100], [-24, 15, -37, 24, 2900], [-26, 15, -41, 18, 2800], [6, 44, -24, -18, 3100], [11, 42, -25, -24, 3000], [11, 45, -29, -30, 2900], [10, 46, -26, -18, 3100], [4, 45, -30, -12, 3100], [-34, 28, -33, 12, 3100], [11, 45, -27, -24, 3100], [8, 49, -30, -30, 2800], [12, 48, -31, -18, 3100], [2, 49, -32, -12, 3100], [11, 48, -31, -24, 3100], [13, 49, -35, -18, 3100], [-1, 52, -33, -12, 3100], [-38, 36, -34, 12, 3100], [12, 50, -34, -24, 3100], [-4, 57, -33, -12, 3100], [-24, 51, -34, 12, 3100], [14, 53, -37, -24, 3100], [5, 61, -33, -18, 3000], [-4, 61, -33, -12, 3000], [-24, 56, -35, 12, 3100], [14, 58, -35, -24, 3100], [2, 66, -34, -18, 2500], [8, 65, -34, -24, 2300], [9, 63, -45, -12, 2300], [-32, 59, -47, -12, 1900], [-33, 48, -57, 12, 2200], [-47, 49, -53, 12, 2200], [-49, 45, -61, 12, 1900], [17, 81, -51, -12, 1600], [83, 50, -64, -12, 1700], [-5, 101, -65, -12, 1800], [-12, 108, -60, -12, 1800], [-67, 96, -52, -12, 1500], [-157, 33, -187, 18, 1700], [-153, 85, -178, 12, 1500], [-160, 97, -171, 12, 1200], [20, 162, -203, -12, 1700], [10, 201, -173, -12, 1500], [191, 94, -164, 12, 1500], [42, 261, -92, -12, 1800], [-204, 184, -74, -18, 1800], [79, 266, -60, -12, 3100], [-218, 181, -52, -18, 2100], [111, 259, -61, -12, 3100], [133, 252, -64, -12, 3100], [-21, 248, -153, 12, 1900], [162, 235, -77, -12, 2700], [-11, 274, -122, -12, 1800], [250, 163, -53, 12, 1700], [-22, 280, -126, 12, 2300], [-26, 282, -131, 12, 2400], [-24, 266, -167, 12, 2000], [-1, 310, -90, -12, 1400], [52, 266, -190, -12, 1600], [35, 264, -204, -12, 1600], [-190, 280, -17, 12, 2100], [-219, 177, -196, 12, 1800], [70, 331, -91, -12, 1400], [-36, 347, -32, 12, 1800], [-122, 330, 40, -12, 1400], [-49, 332, -114, 12, 1500], [18, 357, 19, -12, 1900], [-35, 323, -152, 12, 1700], [94, 308, -174, -18, 1300], [103, 348, -42, -12, 2000], [-209, 305, 23, -12, 2000], [-117, 324, -146, -12, 2200], [0, 323, -196, -12, 2100], [-29, 344, -181, 12, 1500], [-5, 382, -92, -12, 1700], [321, 151, -169, 12, 1700], [382, 107, 20, 12, 1700], [-383, 122, 14, 12, 1500], [-36, 381, -133, -12, 1700], [-11, 388, -130, -12, 2100], [366, 144, -125, -18, 2000], [19, 400, -101, -12, 2200], [380, 120, -121, -18, 2100], [378, 123, -126, -12, 1700], [378, 114, -145, -18, 1700], [-428, 122, 3, -12, 1700], [-474, 128, -142, -12, 1500], [138, 535, -134, -12, 1400], [170, 517, -177, -12, 1600], [10, 573, 129, -12, 1300], [-113, 559, -160, 12, 1600], [69, 581, -204, -12, 1700], [52, 595, -180, -12, 2100], [140, 909, 241, 12, 1900]]",105
2025-03-28 15:24:33.017,"[[-6, 36, -14, -12, 3100], [-22, 14, -30, 12, 3000], [-23, 14, -34, 18, 3100], [-8, 39, -15, -12, 3100], [-26, 9, -34, 12, 3100], [-26, 13, -37, 18, 3100], [4, 41, -21, -18, 3100], [-10, 41, -19, -12, 3100], [5, 42, -19, -24, 2300], [-29, 7, -41, 18, 3000], [7, 44, -24, -18, 3100], [-1, 41, -29, -12, 3100], [9, 43, -24, -24, 2900], [11, 44, -30, -18, 3100], [-3, 43, -33, -12, 3100], [16, 42, -30, -24, 3100], [10, 47, -32, -18, 3100], [-16, 47, -31, -12, 3100], [-37, 26, -37, 12, 3100], [21, 43, -33, -24, 3100], [3, 52, -34, -18, 3100], [4, 53, -32, -12, 3100], [-37, 29, -41, 12, 3100], [24, 45, -34, -24, 3100], [0, 54, -38, -18, 3100], [5, 54, -37, -12, 3100], [-41, 27, -45, 12, 3100], [26, 50, -34, -24, 2800], [17, 55, -39, -18, 2300], [11, 53, -45, -12, 2500], [-36, 39, -46, 12, 2900], [4, 62, -40, -18, 2500], [22, 62, -41, -12, 2200], [-50, 43, -42, 12, 2300], [-47, 51, -43, 12, 2500], [-15, 80, -26, -12, 2100], [-46, 59, -41, 12, 2200], [1, 88, -30, -18, 1800], [-54, 66, -39, -12, 2000], [-218, 183, -10, -12, 1800], [-223, 182, -16, -12, 2000], [264, 97, -59, 12, 1200], [-228, 47, -179, -12, 1400], [46, 262, -146, -12, 2000], [137, 231, -150, -12, 1800], [190, 222, -95, 12, 1900], [-238, 202, 8, 12, 1700], [-44, 323, -23, 12, 1600], [34, 317, -125, -12, 1400], [-50, 276, -198, 12, 1900], [56, 330, -90, -12, 1500], [17, 346, -10, 12, 1600], [-133, 315, 78, -12, 1500], [-112, 334, 39, -12, 1900], [-88, 347, 13, -12, 2100], [2, 339, -157, -12, 1900], [-9, 340, -165, 12, 1700], [66, 372, -52, -12, 1800], [326, 228, -95, -12, 1700], [379, 155, -53, -12, 1800], [28, 438, -70, -12, 1700], [-52, 398, -191, 12, 1500], [250, 327, -204, -12, 1700], [257, 351, -160, -12, 2200], [237, 384, -120, -12, 2100], [456, 88, -80, 12, 1900], [95, 501, -143, -12, 1300], [66, 581, 0, -12, 1100], [512, 243, -156, -12, 1600], [499, 280, -151, -12, 1900], [131, 607, 134, -12, 1800], [-111, 680, 151, -12, 1600], [91, 929, 200, 12, 1900]]",73
2025-03-28 15:24:33.083,"[[2, 45, -23, -12, 3100], [2, 47, -26, -18, 2300], [6, 47, -27, -12, 3100], [19, 49, -32, -12, 3100], [-35, 40, -32, 12, 2900], [27, 48, -36, -12, 2500], [-50, 47, -38, -12, 1700], [2, 75, -32, -12, 1800], [4, 80, -29, -12, 1800], [-58, 62, -30, -12, 1800], [-57, 68, -29, -12, 2100], [-61, 72, -27, -12, 2100], [81, 270, -37, 12, 1500], [-245, 149, -35, 12, 1500], [98, 287, -53, 12, 1300], [-36, 289, -121, 12, 1800], [-37, 329, 48, 12, 1900], [-6, 326, -130, -12, 1600], [6, 349, -110, -12, 1800], [-153, 408, -104, -12, 1400], [117, 452, -20, 12, 1700], [123, 442, -105, 12, 1700], [-436, 539, -28, -12, 1500], [-433, 543, 66, -12, 1600]]",24
2025-03-28 15:24:33.176,"[[-12, 36, -18, -12, 2800], [-31, 41, -18, -12, 2600], [-33, 44, -20, -12, 3100], [-36, 46, -21, -12, 3100], [-39, 49, -21, -12, 3100], [-11, 65, -41, -12, 1900]]",6
2025-03-28 15:24:33.295,"[[-9, 34, -17, -12, 3100], [-9, 37, -18, -12, 3100], [-7, 47, -26, -12, 3100], [-1, 50, -30, -12, 3000], [-36, 36, -36, -12, 3000], [21, 48, -34, 12, 2800], [-27, 42, -44, -12, 2800], [-24, 35, -56, -12, 2300], [-1, 93, -49, -12, 2300], [-3, 95, -52, -12, 2300], [-25, 80, -76, -12, 1800], [10, 277, -62, -12, 1500], [245, 148, -33, -12, 1900], [8, 288, -47, -12, 1700], [238, 177, -64, -12, 1800], [-9, 288, -108, -12, 1800], [-24, 286, -123, -12, 1800], [24, 336, 81, 12, 1200], [19, 354, 72, 12, 1600]]",19
2025-03-28 15:24:33.386,"[[-17, 27, -28, -12, 3100], [-19, 27, -33, -12, 3100], [-22, 28, -36, -12, 3100], [12, 50, -28, 12, 3100], [12, 53, -30, 12, 3100], [-30, 56, -30, 12, 3000], [-31, 57, -35, 12, 2700], [1, 86, -46, -12, 1800], [-2, 91, -42, -12, 2700], [-3, 95, -43, -18, 2200], [-1, 94, -46, -12, 3000], [2, 96, -50, -18, 1800], [3, 96, -51, -12, 2700], [249, 142, -29, -12, 2000], [262, 121, -45, -12, 1900], [235, 185, -10, -12, 1700], [244, 171, -54, -12, 1900], [-10, 274, -141, -12, 2000], [-30, 290, -111, -18, 1800], [-38, 301, -72, -12, 1900], [10, 349, 28, -12, 1500], [0, 355, 49, -12, 1200], [-167, 324, -41, 12, 1600]]",23
