timeForPointcloud,frameInfo,total_point_num
2025-04-02 17:19:32.635,"[[27, 51, -8, -12, 2400]]",1
2025-04-02 17:19:32.734,[],0
2025-04-02 17:19:32.833,[],0
2025-04-02 17:19:32.931,[],0
2025-04-02 17:19:33.032,[],0
2025-04-02 17:19:33.135,"[[24, 43, -8, 12, 2500], [26, 47, -8, 12, 2800], [29, 50, -8, 12, 2500]]",3
2025-04-02 17:19:33.230,[],0
2025-04-02 17:19:33.329,[],0
2025-04-02 17:19:33.429,"[[39, 101, -5, 12, 1700], [44, 103, -6, 12, 1700]]",2
2025-04-02 17:19:33.528,[],0
2025-04-02 17:19:33.629,"[[36, 81, -1, 12, 1500], [37, 102, -6, 12, 1900], [41, 105, -5, 12, 2000]]",3
2025-04-02 17:19:33.726,"[[26, 46, -8, -12, 2400]]",1
2025-04-02 17:19:33.839,"[[4, 24, -30, -18, 2800], [4, 24, -30, -12, 3100], [4, 26, -33, -12, 3100], [2, 28, -37, -18, 3100], [0, 29, -36, -12, 3100], [-1, 31, -40, -18, 2800], [-3, 34, -38, -12, 3100], [-2, 40, -36, -12, 3100], [0, 48, -32, -12, 3100], [-5, 47, -40, -12, 2200], [4, 54, -30, 12, 2200], [20, 59, -30, -12, 2300], [14, 70, -29, -12, 2300], [4, 92, -12, -12, 1400], [6, 95, -18, -12, 1800], [0, 95, -34, -12, 1600], [33, 94, -33, -12, 1300], [23, 24, -104, -12, 1100], [15, 90, -79, -12, 1700], [12, 98, -82, -12, 1700], [34, 164, -185, -12, 1800], [34, 178, -193, -12, 1700], [-51, 232, -157, -12, 1300], [-231, 155, -93, -12, 1700], [-30, 270, -117, -12, 1700], [169, 260, -91, -12, 1700], [132, 270, -129, -12, 2100], [61, 337, -119, 12, 1900], [67, 338, -125, 12, 1800], [215, 423, 63, -12, 1700], [248, 391, -136, -12, 1800], [108, 450, -164, 12, 1800], [59, 591, -176, -12, 1600], [59, 591, -200, 12, 1700], [44, 604, -178, 12, 1500], [75, 692, -156, 12, 2000], [71, 696, -158, 12, 2000]]",37
2025-04-02 17:19:33.956,"[[6, 23, -25, -18, 2700], [5, 23, -25, -24, 3100], [5, 26, -29, -30, 3100], [6, 26, -28, -18, 3100], [5, 26, -29, -24, 3100], [5, 27, -32, -30, 3100], [7, 29, -30, -18, 3000], [6, 28, -31, -24, 3100], [4, 29, -36, -30, 2500], [11, 36, -27, -12, 3000], [6, 32, -33, -24, 2600], [1, 36, -35, -18, 2900], [-3, 45, -31, -12, 3100], [30, 43, -10, 12, 3100], [1, 52, -33, -12, 3100], [26, 57, -19, -18, 2800], [10, 57, -31, -12, 3100], [17, 61, -28, -18, 2400], [24, 60, -26, -12, 2800], [25, 56, -41, -12, 2800], [-1, 71, -40, -12, 2100], [37, 35, -63, 12, 1600], [35, 58, -53, 12, 2100], [39, 63, -50, 12, 1600], [12, 94, -22, -12, 1900], [39, 88, -13, 12, 2200], [30, 95, -9, 18, 1800], [38, 93, -6, 12, 2600], [37, 97, -7, 18, 2200], [42, 96, -4, 12, 2800], [41, 100, -7, 18, 2500], [42, 100, -5, 12, 3100], [43, 104, -4, 18, 2600], [41, 105, -4, 12, 3100], [45, 107, -5, 18, 2400], [20, 108, -38, -12, 1700], [42, 109, -4, 12, 3100], [49, 109, -9, 18, 1800], [16, 112, -41, -12, 1800], [47, 110, -7, 12, 2700], [22, 108, -73, -12, 1800], [-18, 170, -11, -12, 1200], [-8, 115, -133, -12, 1700], [-31, 180, 36, -12, 1700], [71, 185, -5, 12, 1500], [-1, 187, -86, -12, 1200], [2, 197, -73, -12, 1500], [1, 196, -86, -12, 1200], [57, 185, -151, -18, 2000], [61, 177, -158, -24, 1800], [50, 187, -157, -18, 2300], [39, 198, -147, -12, 1700], [63, 185, -155, -24, 2000], [46, 194, -157, -18, 2000], [69, 257, -137, -18, 1500], [-255, 123, -99, -12, 1700], [-211, 138, -197, -12, 2300], [-80, 256, -181, -12, 2600], [178, 219, -165, -12, 2900], [172, 240, -149, -12, 2700], [19, 288, -170, -12, 2300], [45, 326, -80, -12, 2100], [26, 338, -50, -18, 1300], [303, 152, -49, -12, 1800], [111, 260, -207, -12, 1700], [19, 308, -174, -12, 1700], [-331, 28, -148, -12, 1400], [52, 328, -144, 12, 1700], [51, 337, -135, 12, 1700], [52, 333, -152, 12, 1500], [112, 366, -74, -12, 1800], [94, 351, -204, -12, 1900], [169, 354, -199, -12, 2100], [51, 444, 104, -12, 1800], [-444, 81, -111, -18, 1600], [-434, 174, -24, -18, 1400], [-84, 423, -181, -12, 1500], [190, 434, -72, -12, 1600], [224, 583, -91, -12, 1900], [160, 612, 50, -12, 1900], [-66, 620, 141, -12, 2000], [-594, 721, 129, -12, 1300]]",82
